Date,out_sums
2018-02-09 00:12:02,10829.66335255
2018-02-09 00:42:48,16652.7395891
2018-02-09 01:00:08,14807.31818691
2018-02-09 01:14:44,9968.72016038
2018-02-09 01:14:45,232.52133795
2018-02-09 01:17:15,1042.25174186
2018-02-09 01:20:58,3450.16729546
2018-02-09 01:41:12,10615.18111506
2018-02-09 01:43:14,1181.69523389
2018-02-09 01:55:40,8235.4698575
2018-02-09 02:07:17,12448.40765408
2018-02-09 02:16:01,7254.35880402
2018-02-09 02:37:09,11882.19641991
2018-02-09 03:00:34,19577.38989817
2018-02-09 03:07:05,3137.22078186
2018-02-09 03:45:59,31747.50419652
2018-02-09 03:54:54,4343.46363685
2018-02-09 03:59:49,4107.36081087
2018-02-09 04:04:12,3043.08631776
2018-02-09 04:10:43,2745.15102671
2018-02-09 04:18:11,8498.63949965
2018-02-09 04:22:59,1332.23089996
2018-02-09 04:33:29,4734.7646759
2018-02-09 04:41:15,3071.09274508
2018-02-09 05:19:35,19044.51351389
2018-02-09 05:32:39,15160.44416297
2018-02-09 05:59:58,18846.64061209
2018-02-09 06:15:59,13027.12918864
2018-02-09 06:17:31,239.93587197
2018-02-09 06:19:49,1798.7328526
2018-02-09 06:20:49,1801.79368931
2018-02-09 06:36:09,10850.75225049
2018-02-09 06:46:40,29466.94163909
2018-02-09 06:52:13,5731.96150059
2018-02-09 07:11:56,14829.53786229
2018-02-09 07:18:09,3320.08024503
2018-02-09 07:21:45,3152.24993469
2018-02-09 07:30:21,19782.63172642
2018-02-09 07:32:34,7938.60020236
2018-02-09 07:37:35,5129.58887321
2018-02-09 08:03:04,21735.73484915
2018-02-09 08:16:00,11188.07485492
2018-02-09 08:21:51,2499.62555333
2018-02-09 08:37:35,14711.69763772
2018-02-09 08:50:56,6556.99868983
2018-02-09 08:55:39,6694.41745432
2018-02-09 09:07:20,6621.23084536
2018-02-09 09:14:50,4559.40240667
2018-02-09 09:33:55,24428.84058197
2018-02-09 09:54:58,49565.71796859
2018-02-09 10:12:12,12990.9262749
2018-02-09 10:15:00,3220.39243096
2018-02-09 10:18:53,2048.98866492
2018-02-09 10:30:22,7501.97476854
2018-02-09 10:30:48,906.87177952
2018-02-09 10:39:02,4530.92208165
2018-02-09 10:48:12,3346.60274123
2018-02-09 10:50:19,3282.22507392
2018-02-09 11:05:29,8135.97367731
2018-02-09 11:15:24,5639.39700369
2018-02-09 11:38:52,9723.4248867
2018-02-09 11:50:45,5133.40644784
2018-02-09 11:53:17,1664.00682728
2018-02-09 11:59:21,4768.65964203
2018-02-09 12:04:09,7334.22985017
2018-02-09 12:22:33,11806.81407929
2018-02-09 12:26:32,7783.09773597
2018-02-09 12:30:19,2473.98997605
2018-02-09 12:31:30,1048.44661626
2018-02-09 12:34:03,2455.65537914
2018-02-09 12:54:55,21610.51032379
2018-02-09 13:01:12,5544.72319224
2018-02-09 13:14:41,5228.50157122
2018-02-09 13:19:32,3932.28778877
2018-02-09 13:20:32,1003.85009997
2018-02-09 13:44:13,15778.36846816
2018-02-09 13:53:11,21044.76003749
2018-02-09 14:09:33,10509.07658145
2018-02-09 14:10:41,19108.5675604
2018-02-09 14:38:20,16231.93868253
2018-02-09 15:05:40,26916.76822046
2018-02-09 15:07:19,8941.80555323
2018-02-09 15:15:22,10772.63772236
2018-02-09 15:20:21,8960.67448162
2018-02-09 15:21:25,1820.3632306
2018-02-09 15:48:17,32723.80438061
2018-02-09 15:50:21,14363.10302947
2018-02-09 16:03:52,15321.51958128
2018-02-09 16:22:24,15398.99098782
2018-02-09 16:45:29,17096.86271539
2018-02-09 16:48:54,7348.41783002
2018-02-09 16:54:37,4594.85140689
2018-02-09 16:58:40,1806.62059875
2018-02-09 17:10:39,7153.59383845
2018-02-09 17:21:39,7077.16500727
2018-02-09 17:25:16,1017.78135851
2018-02-09 17:27:45,724.44456817
2018-02-09 17:43:49,11785.93371773
2018-02-09 17:46:55,1315.39880745
2018-02-09 17:53:31,2730.79279464
2018-02-09 18:06:03,12465.80998477
2018-02-09 18:30:20,14509.90501676
2018-02-09 18:36:03,7548.00395851
2018-02-09 18:40:44,2216.17854993
2018-02-09 18:48:16,5235.83037902
2018-02-09 18:52:42,3660.17390197
2018-02-09 18:56:49,3159.8175067
2018-02-09 19:06:18,6881.17749007
2018-02-09 19:09:27,4361.78861171
2018-02-09 19:15:53,3576.85260514
2018-02-09 19:35:56,20610.39473297
2018-02-09 19:45:24,5085.42996966
2018-02-09 19:57:28,6405.40102164
2018-02-09 19:59:13,1566.39173557
2018-02-09 20:03:52,1551.99212505
2018-02-09 20:06:36,1786.01770982
2018-02-09 20:09:33,1202.99865089
2018-02-09 20:11:00,2240.99297615
2018-02-09 20:11:03,2581.16106705
2018-02-09 20:13:25,582.31138117
2018-02-09 20:39:12,10637.41820635
2018-02-09 21:03:58,12740.44114132
2018-02-09 21:13:16,4957.59462994
2018-02-09 21:26:57,10500.09179846
2018-02-09 21:43:04,2962.00717737
2018-02-09 22:00:22,4975.42743686
2018-02-09 22:00:48,11912.01615741
2018-02-09 22:17:45,9342.39850095
2018-02-09 22:27:21,5874.90771905
2018-02-09 22:27:50,4486.37943104
2018-02-09 22:29:35,907.15320848
2018-02-09 22:43:01,8766.49373492
2018-02-09 22:44:55,509.76076831
2018-02-09 23:49:01,8972.28659347
2018-02-09 23:55:14,2107.67619022
2018-02-10 00:00:53,1876.6147782
2018-02-10 00:19:12,6723.70573211
2018-02-10 00:26:01,16766.70755291
2018-02-10 00:52:30,15469.73719714
2018-02-10 00:57:28,13298.45177498
2018-02-10 01:01:42,6667.62621197
2018-02-10 01:46:36,13770.91217269
2018-02-10 01:51:49,8814.05381579
2018-02-10 01:54:22,16424.61035617
2018-02-10 02:06:22,5632.00333812
2018-02-10 02:12:55,4094.37539921
2018-02-10 02:18:45,3492.29933116
2018-02-10 02:30:52,7677.48931581
2018-02-10 02:40:06,4162.47267537
2018-02-10 02:45:21,2807.61129074
2018-02-10 03:01:10,8151.727090100001
2018-02-10 03:03:42,1338.54852356
2018-02-10 03:25:22,12914.46285163
2018-02-10 03:26:25,161.32977999
2018-02-10 03:37:24,4560.86439569
2018-02-10 03:46:25,10413.8760555
2018-02-10 04:08:58,14221.53080734
2018-02-10 04:21:46,8159.71431573
2018-02-10 04:49:09,13130.3142097
2018-02-10 05:33:09,63077.69423130001
2018-02-10 05:40:42,8001.69461319
2018-02-10 05:56:07,9209.47495435
2018-02-10 06:07:24,6163.4581217
2018-02-10 06:43:12,11498.72386269
2018-02-10 06:44:16,3083.6003077
2018-02-10 06:43:57,172.35612369
2018-02-10 06:44:12,211.55320641
2018-02-10 06:59:38,11185.00552212
2018-02-10 07:10:30,9102.3145547
2018-02-10 07:13:01,651.90816763
2018-02-10 07:26:48,8416.07134176
2018-02-10 07:31:35,6973.1455602
2018-02-10 07:51:17,16094.99059152
2018-02-10 07:59:31,7427.19174005
2018-02-10 08:02:48,5595.39174838
2018-02-10 08:10:42,5492.57194597
2018-02-10 08:10:55,929.41416485
2018-02-10 08:11:58,955.0416534
2018-02-10 08:26:56,11631.50546103
2018-02-10 08:35:22,18992.48650079
2018-02-10 08:54:17,27912.64489611
2018-02-10 09:03:20,6441.40479122
2018-02-10 09:11:07,5992.09810736
2018-02-10 09:12:06,254.41525293
2018-02-10 09:41:52,17102.04798277
2018-02-10 09:46:54,5801.03174387
2018-02-10 09:59:00,7084.55128613
2018-02-10 10:12:38,8227.24675815
2018-02-10 10:13:48,2667.64514055
